embedding_time_s,retrieval_time_s,rerank_time_s,total_time_s
0.2365513340000689,0.4940866659999301,0.0,0.730637999999999
0.2014858849997836,0.1936632200004169,0.0,0.3951491050002005
0.19283695200010698,0.2062384299997575,0.0,0.3990753819998645
0.20247242400000687,0.19239504500001203,0.0,0.3948674690000189
0.20354571200005012,0.21324915399964084,0.0,0.41679486599969096
0.2231262550003521,0.19532172999970498,0.0,0.4184479850000571
0.2051727399993979,0.2089220670004579,0.0,0.4140948069998558
0.20558107400029257,0.2077820700005759,0.0,0.4133631440008685
0.24318875199969625,0.20321834900005342,0.0,0.4464071009997497
0.21757042399985949,0.208255523999469,0.0,0.4258259479993285
